# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 2
# model = bernoulli_makeodds_model
# start_datetime = 2023-01-28 02:21:54 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = bernoulli.data.json
# init = 2 (Default)
# random
#   seed = 4250400657 (Default)
# output
#   file = output.csv (Default)
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.2
# stancflags = --allow-undefined
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta,odds
-7.54513,0.863164,0.846965,2,3,0,8.55399,0.424728,0.738309
-6.79405,0.93187,0.846965,1,3,0,8.16297,0.213413,0.271315
-6.76434,0.998988,0.846965,2,3,0,6.80801,0.227886,0.295145
-6.76434,0.954448,0.846965,1,3,0,7.09443,0.227886,0.295145
-6.89564,0.945117,0.846965,2,3,0,7.33121,0.321636,0.474134
-6.74804,1,0.846965,2,3,0,6.87525,0.249345,0.33217
-6.8289,0.912475,0.846965,2,3,0,7.56756,0.302365,0.433415
-6.74893,0.94465,0.846965,2,3,0,7.29215,0.244706,0.323988
-6.77085,0.996213,0.846965,1,3,0,6.77776,0.223948,0.288574
-6.77798,0.999711,0.846965,2,7,0,6.77798,0.281396,0.391587
-6.76154,0.891119,0.846965,2,3,0,7.71229,0.270923,0.371597
-6.74878,0.999994,0.846965,3,7,0,6.75948,0.245152,0.32477
-6.76883,0.992341,0.846965,2,3,0,6.81454,0.276058,0.381325
-6.93524,0.93762,0.846965,1,3,0,7.21781,0.179165,0.218272
-7.66839,0.936077,0.846965,2,3,0,7.76243,0.110131,0.12376
-7.08062,0.873865,0.846965,1,3,0,9.76523,0.35984,0.562111
-6.77139,0.964732,0.846965,1,3,0,7.37463,0.223649,0.288077
-6.91555,0.947023,0.846965,2,3,0,7.33728,0.326539,0.484868
-6.84626,1,0.846965,1,1,0,6.90693,0.307929,0.444938
-6.91379,0.923495,0.846965,1,3,0,7.40654,0.183012,0.224008
-6.74865,0.987092,0.846965,2,3,0,7.07255,0.24559,0.32554
-6.90757,0.966598,0.846965,1,3,0,7.00439,0.324609,0.480624
-6.81726,1,0.846965,1,1,0,6.88987,0.298317,0.425146
-6.74808,0.92439,0.846965,2,3,0,7.44848,0.251376,0.335785
-7.3648,0.852151,0.846965,1,3,0,7.88903,0.130728,0.150388
-6.7487,0.967328,0.846965,1,3,0,7.78791,0.254616,0.34159
-6.75038,0.999226,0.846965,2,7,0,6.75502,0.241486,0.318366
-7.34204,0.930866,0.846965,2,3,0,7.34406,0.13256,0.152817
-7.17006,1,0.846965,1,1,0,7.33569,0.148319,0.174149
-7.45606,0.884126,0.846965,1,3,0,9.32585,0.414059,0.706656
-7.14258,1,0.846965,1,1,0,7.41117,0.370243,0.587914
-6.81203,0.938703,0.846965,1,3,0,7.65169,0.207149,0.26127
-7.70635,0.86605,0.846965,1,3,0,8.10001,0.107951,0.121014
-7.7934,0.992208,0.846965,1,1,0,7.87607,0.103209,0.115087
-7.65388,1,0.846965,1,1,0,7.8424,0.110983,0.124838
-6.75591,1,0.846965,2,3,0,7.51799,0.234525,0.306379
-6.80066,0.987503,0.846965,1,3,0,6.8751,0.291942,0.412314
-6.85345,0.989541,0.846965,1,1,0,6.85468,0.310097,0.449478
-6.76466,0.985101,0.846965,2,3,0,7.00885,0.227675,0.294792
-6.78011,0.997119,0.846965,2,3,0,6.7988,0.219258,0.280832
-7.07525,0.968697,0.846965,2,3,0,7.10601,0.158973,0.189022
-6.74812,1,0.846965,2,3,0,7.02225,0.248237,0.330207
-6.75411,0.997674,0.846965,2,3,0,6.76744,0.263964,0.358629
-6.8366,0.973077,0.846965,1,3,0,6.948,0.200002,0.250004
-6.88029,0.993483,0.846965,1,1,0,6.88404,0.189658,0.234047
-6.87403,0.998448,0.846965,3,7,0,6.8971,0.191006,0.236103
-6.86094,1,0.846965,1,1,0,6.8858,0.193953,0.240622
-6.81317,0.972196,0.846965,1,3,0,7.16616,0.296822,0.422115
-7.41894,0.775193,0.846965,1,3,0,8.5176,0.126561,0.1449
-7.53548,0.976877,0.846965,2,7,0,7.91948,0.4236,0.734906
-8.04725,0.962269,0.846965,2,3,0,8.12159,0.476355,0.909692
-7.93178,0.99732,0.846965,3,7,0,8.1026,0.0963187,0.106585
-7.97527,0.996441,0.846965,1,1,0,8.09255,0.094299,0.104117
-7.53361,1,0.846965,1,1,0,7.93695,0.118506,0.134437
-8.06076,0.984226,0.846965,2,3,0,8.06077,0.0905086,0.0995157
-8.11623,0.979604,0.846965,3,7,0,8.36115,0.482607,0.932767
-7.99484,1,0.846965,3,7,0,8.05879,0.0934108,0.103035
-7.57959,1,0.846965,1,1,0,7.96291,0.115529,0.13062
-7.76553,0.982746,0.846965,1,1,0,7.8088,0.10469,0.116931
-7.22202,0.981819,0.846965,3,7,0,7.94718,0.14315,0.167065
-6.87775,0.950464,0.846965,3,7,0,7.85101,0.1902,0.234873
-8.33189,0.858857,0.846965,2,3,0,8.35383,0.0798462,0.0867749
-6.74981,0.944613,0.846965,1,3,0,9.49858,0.242585,0.320279
-7.77441,0.907208,0.846965,2,3,0,7.84677,0.44983,0.81762
-7.6797,1,0.846965,2,3,0,7.93399,0.439827,0.785161
-6.8184,0.980652,0.846965,2,3,0,7.84979,0.298727,0.425978
-6.74867,1,0.846965,2,3,0,6.81185,0.254532,0.341439
-7.88571,0.834101,0.846965,2,7,0,8.30755,0.461028,0.855384
-9.16796,0.912652,0.846965,2,3,0,9.22282,0.562616,1.28632
-6.74994,1,0.846965,2,3,0,8.96533,0.242313,0.319807
-6.8992,0.967044,0.846965,1,3,0,7.00581,0.322534,0.476088
-7.13608,0.968017,0.846965,2,7,0,7.22286,0.151936,0.179157
-7.97736,0.846176,0.846965,2,3,0,10.4788,0.469847,0.886249
-7.7695,1,0.846965,1,1,0,8.10577,0.449323,0.815945
-6.93593,0.998514,0.846965,3,7,0,7.68927,0.179046,0.218095
-7.16004,0.905713,0.846965,1,3,0,8.09457,0.373037,0.594991
-6.77019,1,0.846965,2,3,0,7.08955,0.224313,0.28918
-7.71912,0.857162,0.846965,2,7,0,8.30065,0.107233,0.120113
-7.73462,0.998595,0.846965,1,1,0,7.84466,0.106373,0.119035
-7.00115,0.985856,0.846965,3,7,0,7.76524,0.168791,0.203066
-6.7722,1,0.846965,2,3,0,6.9904,0.223209,0.287348
-6.78799,0.986731,0.846965,1,3,0,6.8987,0.286398,0.401341
-6.85376,0.957804,0.846965,1,3,0,7.10292,0.195652,0.243243
-6.95888,0.984831,0.846965,1,1,0,6.95895,0.175221,0.212447
-6.75289,0.97144,0.846965,3,7,0,7.26987,0.262465,0.355868
-6.75289,0.775071,0.846965,1,3,0,8.30129,0.262465,0.355868
-7.11841,0.902456,0.846965,1,3,0,7.49471,0.153901,0.181895
-7.37237,0.970506,0.846965,1,1,0,7.37403,0.13013,0.149597
-6.80917,1,0.846965,2,3,0,7.3291,0.208073,0.262743
-6.80917,0.797546,0.846965,1,3,0,8.50612,0.208073,0.262743
-6.95896,0.940629,0.846965,3,7,0,7.40533,0.175209,0.212428
-7.01671,0.935316,0.846965,1,3,0,7.86962,0.348126,0.53404
-6.74817,1,0.846965,2,3,0,6.98008,0.247864,0.329547
-6.74936,0.999611,0.846965,1,3,0,6.75112,0.256501,0.344993
-6.76422,0.998397,0.846965,3,7,0,6.76424,0.227965,0.295278
-7.07974,0.928864,0.846965,1,3,0,7.37763,0.359686,0.561733
-6.99619,1,0.846965,1,1,0,7.09266,0.3441,0.524623
-6.74804,0.992615,0.846965,1,3,0,7.07628,0.249244,0.33199
-6.84026,0.979366,0.846965,1,3,0,6.89889,0.199036,0.248495
-6.86908,0.954739,0.846965,2,3,0,7.31131,0.192098,0.237773
-6.8611,0.963183,0.846965,1,3,0,7.30202,0.312329,0.454184
-7.5987,0.693085,0.846965,1,3,0,9.17639,0.11433,0.129088
-6.76539,0.946146,0.846965,1,3,0,8.42766,0.273768,0.376971
-6.8913,0.952178,0.846965,1,3,0,7.11019,0.187375,0.230579
-6.84921,1,0.846965,1,1,0,6.89049,0.196764,0.244964
-6.84758,0.964,0.846965,1,3,0,7.22296,0.308332,0.44578
-6.87544,0.937729,0.846965,1,3,0,7.3099,0.190699,0.235634
-7.36704,0.96175,0.846965,3,7,0,7.37137,0.402743,0.674321
-6.78285,0.945091,0.846965,1,3,0,7.84987,0.218015,0.278796
-6.77701,0.98058,0.846965,2,3,0,6.97071,0.220736,0.283261
-6.74926,0.993448,0.846965,2,3,0,6.84013,0.24382,0.322437
-6.84859,0.977575,0.846965,1,3,0,6.92075,0.308641,0.446426
-6.95227,0.978832,0.846965,1,1,0,6.95492,0.334929,0.5036
-7.65858,0.915551,0.846965,3,7,0,7.71676,0.437529,0.777868
-7.04212,0.99519,0.846965,3,7,0,7.63655,0.352922,0.545408
-6.98938,1,0.846965,2,3,0,7.06662,0.34273,0.521445
-6.98938,0.783145,0.846965,1,3,0,8.47218,0.34273,0.521445
-6.78177,0.994237,0.846965,2,3,0,7.04325,0.283372,0.395423
-7.60547,0.90538,0.846965,3,7,0,7.61385,0.11391,0.128553
-7.72294,0.996355,0.846965,2,3,0,7.78716,0.10702,0.119845
-6.75317,0.920834,0.846965,3,7,0,9.02818,0.262829,0.356537
-6.75335,0.987415,0.846965,3,7,0,6.84589,0.263049,0.356942
-7.03548,0.967364,0.846965,2,3,0,7.07862,0.351687,0.542464
-7.43591,0.815209,0.846965,3,7,0,8.50321,0.125307,0.143258
-7.62174,0.98153,0.846965,1,1,0,7.65376,0.112912,0.127284
-6.74993,0.970388,0.846965,1,3,0,8.13207,0.242336,0.319846
-6.74993,0.82661,0.846965,1,3,0,8.01506,0.242336,0.319846
-6.75413,0.998169,0.846965,1,3,0,6.76633,0.26398,0.358659
-6.75712,0.999446,0.846965,1,1,0,6.75755,0.267107,0.364456
-7.01455,0.922052,0.846965,1,3,0,7.32056,0.166893,0.200326
-7.63545,0.860491,0.846965,2,3,0,8.58886,0.112083,0.126231
-7.52172,0.9489,0.846965,3,7,0,8.65672,0.119297,0.135457
-7.33407,0.998304,0.846965,3,7,0,7.53198,0.398361,0.662127
-7.40689,0.992967,0.846965,3,7,0,7.51405,0.407896,0.688893
-8.13584,0.843414,0.846965,1,1,0,8.16484,0.484355,0.939319
-7.36639,0.854339,0.846965,3,7,0,9.44547,0.402658,0.674084
-6.79457,0.988722,0.846965,3,7,0,7.46075,0.289365,0.407193
-6.76694,1,0.846965,1,1,0,6.78929,0.274823,0.378974
-6.75976,1,0.846965,1,1,0,6.76623,0.269468,0.368865
-6.79336,0.984134,0.846965,1,3,0,6.8816,0.213677,0.271742
-7.29783,0.890186,0.846965,1,3,0,7.86048,0.39341,0.64856
-6.89554,0.891404,0.846965,1,3,0,8.22811,0.186523,0.229291
-6.84144,1,0.846965,1,1,0,6.89031,0.19873,0.248019
-6.88095,0.963632,0.846965,1,3,0,7.27767,0.317816,0.46588
-6.87924,0.982925,0.846965,2,3,0,7.0767,0.31736,0.464901
-6.98295,0.978538,0.846965,1,1,0,6.98959,0.341419,0.518417
-6.91197,0.904387,0.846965,1,3,0,7.70747,0.18335,0.224515
-8.1137,0.804655,0.846965,2,3,0,8.94287,0.0882727,0.0968192
-8.55847,0.968785,0.846965,1,1,0,8.5812,0.072229,0.0778522
-6.9918,0.981721,0.846965,3,7,0,8.38984,0.343219,0.522578
-6.82296,0.945243,0.846965,1,3,0,7.44087,0.203809,0.255981
-7.06631,0.935977,0.846965,2,3,0,7.67081,0.357313,0.555967
-7.04914,0.847983,0.846965,1,3,0,8.29219,0.162254,0.193679
-7.23976,0.976633,0.846965,1,1,0,7.24293,0.141475,0.164788
-6.78377,0.98546,0.846965,1,3,0,7.32374,0.217609,0.278134
-6.93406,0.958024,0.846965,2,3,0,7.25522,0.330866,0.494468
-6.81867,0.988651,0.846965,2,3,0,7.04766,0.298824,0.426176
-6.8173,1,0.846965,3,7,0,6.81856,0.298334,0.425179
-7.21947,0.956098,0.846965,3,7,0,7.22065,0.382158,0.618537
-8.05454,0.825011,0.846965,1,1,0,8.05749,0.477024,0.912132
-6.98162,0.996421,0.846965,3,7,0,7.93936,0.341147,0.517789
-6.99539,0.997056,0.846965,1,1,0,7.03898,0.343939,0.524249
-6.84654,1,0.846965,2,3,0,6.96494,0.308014,0.445116
-7.01381,0.962058,0.846965,2,3,0,7.2148,0.347566,0.532723
-6.90605,0.915766,0.846965,1,3,0,7.75134,0.184471,0.226198
-6.84614,0.961712,0.846965,1,3,0,7.35202,0.307893,0.444863
-6.74846,0.89266,0.846965,2,3,0,7.74414,0.246327,0.326836
-6.96441,0.952955,0.846965,1,3,0,7.09986,0.174338,0.211149
-6.93742,1,0.846965,1,1,0,6.98091,0.178789,0.217714
-6.88765,0.993817,0.846965,2,3,0,7.05136,0.18812,0.23171
-8.94129,0.692284,0.846965,1,3,0,10.2364,0.061401,0.0654178
-6.79639,0.916706,0.846965,1,3,0,10.2917,0.212529,0.269889
-6.80726,0.999427,0.846965,2,3,0,6.81213,0.208705,0.26375
-6.7562,0.991684,0.846965,2,7,0,6.88705,0.266212,0.362791
-7.13531,0.890258,0.846965,1,3,0,7.5596,0.15202,0.179274
-7.19294,0.993068,0.846965,1,1,0,7.22855,0.145992,0.170949
-7.23825,0.996764,0.846965,2,7,0,7.25623,0.38493,0.625831
-8.27821,0.786219,0.846965,1,1,0,8.2785,0.496681,0.986813
-7.34634,1,0.846965,1,1,0,8.07031,0.400006,0.666682
-7.08333,1,0.846965,3,7,0,7.35844,0.157991,0.187636
-6.75631,1,0.846965,2,3,0,7.04097,0.234141,0.305723
-6.74811,0.999437,0.846965,1,3,0,6.76155,0.251703,0.336368
-6.83508,0.869559,0.846965,2,3,0,7.98832,0.304406,0.43762
-7.03701,0.979467,0.846965,3,7,0,7.04526,0.351974,0.543148
-7.47311,0.907504,0.846965,1,1,0,7.47619,0.416148,0.712763
-7.03561,1,0.846965,1,1,0,7.37869,0.351713,0.542526
-6.79665,1,0.846965,3,7,0,6.99389,0.212432,0.269732
-7.24233,0.955663,0.846965,3,7,0,7.27966,0.141235,0.164462
-7.21455,1,0.846965,1,1,0,7.29326,0.143869,0.168045
-6.76968,1,0.846965,3,7,0,7.14042,0.276599,0.382358
-6.7481,1,0.846965,2,3,0,6.76614,0.248455,0.330593
-11.1112,0.613886,0.846965,3,7,0,11.3583,0.0267159,0.0274492
-10.2588,1,0.846965,1,1,0,11.1013,0.0365992,0.0379896
-8.24526,1,0.846965,2,3,0,10.352,0.0830499,0.0905719
-8.85555,0.960309,0.846965,1,1,0,8.86266,0.0636344,0.0679589
-8.9951,0.992322,0.846965,1,1,0,9.13653,0.0600498,0.0638861
-8.23921,1,0.846965,2,3,0,8.9455,0.0832802,0.0908459
-8.43945,0.98609,0.846965,1,1,0,8.52491,0.076101,0.0823694
-6.87171,0.938005,0.846965,3,7,0,9.70694,0.315312,0.46052
-6.86883,0.936641,0.846965,1,3,0,7.34723,0.192155,0.237861
-6.90864,0.994224,0.846965,1,1,0,6.91682,0.183978,0.225457
-8.88123,0.902759,0.846965,2,3,0,8.8836,0.543116,1.18874
-8.55788,1,0.846965,2,3,0,9.14077,0.519258,1.08012
-7.63566,0.994263,0.846965,3,7,0,8.93992,0.11207,0.126214
-6.80568,0.970192,0.846965,1,3,0,7.86066,0.209235,0.264598
-7.62178,0.876559,0.846965,1,3,0,7.97195,0.11291,0.127281
-7.43158,1,0.846965,2,3,0,7.63339,0.125625,0.143674
-7.53406,0.989969,0.846965,3,7,0,7.55779,0.423434,0.734407
-7.53406,0.746584,0.846965,1,1,0,8.49505,0.423434,0.734407
-7.85646,0.927312,0.846965,1,1,0,7.959,0.458139,0.845493
-7.15856,1,0.846965,1,1,0,7.70012,0.372802,0.594392
-6.91356,1,0.846965,2,3,0,7.10734,0.326063,0.483818
-6.888,1,0.846965,1,1,0,6.92926,0.319672,0.46988
-6.90139,0.997227,0.846965,1,1,0,6.92539,0.323082,0.477284
-7.11756,0.841096,0.846965,1,3,0,8.08081,0.153997,0.182029
-6.77937,0.916534,0.846965,3,7,0,8.24222,0.219606,0.281404
-6.80209,0.982551,0.846965,1,3,0,6.94783,0.292524,0.413475
-6.74805,1,0.846965,2,3,0,6.79395,0.249072,0.331685
-6.74805,0.928705,0.846965,1,3,0,7.2396,0.249072,0.331685
-7.71002,0.727056,0.846965,3,7,0,9.52245,0.107744,0.120754
-7.93756,0.980279,0.846965,1,1,0,7.98041,0.0960467,0.106252
-7.71663,1,0.846965,1,1,0,7.96315,0.107372,0.120288
-7.95392,0.979535,0.846965,1,1,0,7.99497,0.0952826,0.105318
-7.86087,0.996011,0.846965,3,7,0,7.94815,0.0997567,0.110811
-6.76446,0.999891,0.846965,3,7,0,7.70915,0.273108,0.37572
-7.4748,0.915748,0.846965,2,3,0,7.62491,0.416354,0.713367
-7.4748,0.775982,0.846965,1,1,0,8.31533,0.416354,0.713367
-6.74894,1,0.846965,3,7,0,7.41671,0.255387,0.342979
-7.05177,0.967423,0.846965,2,3,0,7.08033,0.354693,0.54965
-6.76524,0.970371,0.846965,1,3,0,7.29964,0.227293,0.294152
-6.91958,0.958484,0.846965,1,3,0,7.12039,0.3275,0.486989
-6.77548,0.972286,0.846965,1,3,0,7.14391,0.221496,0.284515
-6.9296,0.945393,0.846965,2,3,0,7.37117,0.329841,0.492184
-6.96356,0.99285,0.846965,1,1,0,6.99116,0.337367,0.509131
-7.36481,0.916026,0.846965,1,1,0,7.36497,0.40245,0.673499
-6.75343,0.990013,0.846965,2,7,0,7.4394,0.26315,0.357127
